utc,last_modified,preset,n,dist,mode,bright,px,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-02 01:04:58,"Wed, 02 Sep 2026 01:04:47 GMT",7,148,0.4,night,107.5,4,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,171725
2026-09-02 01:05:10,"Wed, 02 Sep 2026 01:05:02 GMT",9,581,13.9,night,81.4,14374,151,143,42,14,0.26,0.22,0.23,0.688,0.835,233,0.0,0.457,58,701,310,831,0,132908
2026-09-02 01:05:59,"Wed, 02 Sep 2026 01:05:46 GMT",9,582,13.6,night,77.4,15682,266,112,41,18,0.36,0.34,0.36,0.487,0.541,255,0.36,0.417,61,782,382,998,0,136505
2026-09-02 01:06:11,"Wed, 02 Sep 2026 01:06:01 GMT",9,583,9.5,night,77.6,9410,72,28,18,10,0.4,0.21,0.25,0.58,0.514,255,0.28,0.438,57,338,343,665,0,136445
2026-09-02 01:06:59,"Wed, 02 Sep 2026 01:06:47 GMT",9,584,13.2,night,80.8,17474,198,198,25,19,0.42,0.23,0.24,0.585,0.405,218,0.0,0.341,68,878,410,1038,0,134850
2026-09-02 01:07:12,"Wed, 02 Sep 2026 01:07:02 GMT",9,585,9.2,night,80.7,11023,114,99,37,9,0.34,0.27,0.31,0.365,0.728,252,0.02,0.443,56,424,368,766,0,141663
2026-09-02 01:07:48,"Wed, 02 Sep 2026 01:07:46 GMT",10,162,0.4,night,156.1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,147966
2026-09-02 01:08:00,"Wed, 02 Sep 2026 01:07:46 GMT",10,163,0.3,night,156.1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,147966
2026-09-02 01:08:12,"Wed, 02 Sep 2026 01:08:02 GMT",15,4,5.9,night,137.4,8743,158,114,20,22,0.36,0.25,0.25,0.229,0.382,222,0.0,0.146,42,642,0,0,0,134256
2026-09-02 01:09:13,"Wed, 02 Sep 2026 01:09:02 GMT",12,150,0.4,night,112.3,16,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,177541
2026-09-02 01:09:50,"Wed, 02 Sep 2026 01:09:47 GMT",7,149,0.3,night,107.2,2,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,171469
2026-09-02 01:10:14,"Wed, 02 Sep 2026 01:10:02 GMT",9,586,13.6,night,81.4,15822,369,168,50,21,0.35,0.49,0.52,0.19,0.757,243,0.0,0.344,48,747,369,840,0,134816
2026-09-02 01:10:51,"Wed, 02 Sep 2026 01:10:47 GMT",9,587,12.1,night,77.2,14818,331,38,45,19,0.39,0.5,0.57,0.481,0.465,255,0.17,0.431,80,659,420,975,0,135921
2026-09-02 01:19:11,"Wed, 02 Sep 2026 01:19:02 GMT",7,150,0.8,night,109.3,4,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,173025
2026-09-02 01:20:00,"Wed, 02 Sep 2026 01:19:47 GMT",9,588,11.0,night,80.7,12653,168,88,23,15,0.49,0.33,0.37,0.121,0.737,213,0.0,0.347,65,508,362,756,0,134174
2026-09-02 01:20:12,"Wed, 02 Sep 2026 01:20:02 GMT",9,589,7.8,night,80.5,7666,39,22,14,6,0.46,0.2,0.24,0.684,0.81,199,0.0,0.513,37,191,323,513,0,133684
2026-09-02 01:20:48,"Wed, 02 Sep 2026 01:20:46 GMT",41,3,13.2,night,51.3,14016,492,378,43,18,0.64,0.52,0.52,0.484,0.576,207,0.0,0.113,10,953,0,0,0,88888
2026-09-02 01:21:00,"Wed, 02 Sep 2026 01:20:46 GMT",41,4,9.2,night,51.3,9385,320,269,33,14,0.69,0.51,0.51,0.472,0.541,207,0.0,0.167,10,632,0,0,0,88888
2026-09-02 01:21:12,"Wed, 02 Sep 2026 01:21:02 GMT",9,590,17.0,night,85.8,20389,398,198,39,16,0.64,0.38,0.39,0.811,0.857,242,0.0,0.337,37,1044,355,1028,0,160553
2026-09-02 01:21:49,"Wed, 02 Sep 2026 01:21:47 GMT",9,591,12.6,night,79.6,14882,241,128,52,10,0.46,0.32,0.33,0.277,0.72,255,0.01,0.381,53,755,309,902,0,140217
