utc,sast,cam,mode,preset,source,logged_blob,md_animal_conf,keep,keep_conf,prediction_common,prediction_class,prediction_score,n_detections,md_bw_blocks,md_bh_blocks,md_cx,md_cy,model_version,path
2026-08-31 20:57:07,2026-08-31 22:57:07,nossob,night,14,hits,17,0.0477,0,0.15,blank,,0.935,3,2.3,3.4,0.239,0.573,4.0.3a,hits/nossob/20260831/205707_p14_blob17.jpg
2026-08-31 20:59:09,2026-08-31 22:59:09,nossob,night,15,hits,4,0.2621,1,0.15,no cv result,no cv result,0.8451,1,2.1,5.7,0.892,0.357,4.0.3a,hits/nossob/20260831/205909_p15_blob4.jpg
2026-08-31 21:09:52,2026-08-31 23:09:52,nossob,night,8,hits,4,0.0,0,0.15,blank,,0.8516,0,,,,,4.0.3a,hits/nossob/20260831/210952_p8_blob4.jpg
2026-08-31 21:11:15,2026-08-31 23:11:15,nossob,night,11,hits,4,0.4089,1,0.15,no cv result,no cv result,0.9675,3,10.5,2.7,0.866,0.688,4.0.3a,hits/nossob/20260831/211115_p11_blob4.jpg
2026-08-31 21:12:13,2026-08-31 23:12:13,nossob,night,16,hits,64,0.1397,0,0.15,no cv result,no cv result,0.79,12,5.5,3.2,0.154,0.447,4.0.3a,hits/nossob/20260831/211213_p16_blob64.jpg
2026-08-31 21:21:57,2026-08-31 23:21:57,nossob,night,12,hits,8,0.0,0,0.15,blank,,0.8812,0,,,,,4.0.3a,hits/nossob/20260831/212157_p12_blob8.jpg
2026-08-31 21:22:56,2026-08-31 23:22:56,nossob,night,11,hits,3,0.4486,1,0.15,no cv result,no cv result,0.9799,3,10.1,2.9,0.865,0.691,4.0.3a,hits/nossob/20260831/212256_p11_blob3.jpg
2026-08-31 21:25:52,2026-08-31 23:25:52,nossob,night,11,hits,10,0.7928,1,0.15,animal,,0.7928,6,3.9,3.3,0.074,0.702,4.0.3a,hits/nossob/20260831/212552_p11_blob10.jpg
2026-08-31 21:37:58,2026-08-31 23:37:58,nossob,night,14,hits,130,0.0264,0,0.15,blank,,0.9982,3,2.2,1.7,0.361,0.368,4.0.3a,hits/nossob/20260831/213758_p14_blob130.jpg
2026-08-31 21:49:50,2026-08-31 23:49:50,nossob,night,14,hits,9,0.0493,0,0.15,blank,,0.8115,3,11.4,7.3,0.58,0.617,4.0.3a,hits/nossob/20260831/214950_p14_blob9.jpg
2026-08-31 22:17:03,2026-09-01 00:17:03,nossob,night,13,hits,14,0.0463,0,0.15,blank,,0.9975,3,2.2,2.7,0.534,0.578,4.0.3a,hits/nossob/20260831/221703_p13_blob14.jpg
2026-08-31 22:28:06,2026-09-01 00:28:06,nossob,night,14,hits,20,0.0476,0,0.15,blank,,0.7586,3,11.6,7.5,0.581,0.615,4.0.3a,hits/nossob/20260831/222806_p14_blob20.jpg
2026-08-31 22:28:18,2026-09-01 00:28:18,nossob,night,14,hits,14,0.0476,0,0.15,blank,,0.7586,3,11.6,7.5,0.581,0.615,4.0.3a,hits/nossob/20260831/222818_p14_blob14.jpg
2026-08-31 22:54:01,2026-09-01 00:54:01,nossob,night,11,hits,6,0.8928,1,0.15,canis species,mammalia,0.8093,4,4.6,4.0,0.355,0.673,4.0.3a,hits/nossob/20260831/225401_p11_blob6.jpg
2026-08-31 22:55:55,2026-09-01 00:55:55,nossob,night,12,hits,74,0.9326,1,0.15,black-backed jackal,mammalia,0.692,2,15.4,12.5,0.223,0.201,4.0.3a,hits/nossob/20260831/225555_p12_blob74.jpg
2026-08-31 23:10:52,2026-09-01 01:10:52,nossob,night,15,hits,7,0.1394,0,0.15,blank,,0.9566,1,2.2,5.4,0.891,0.355,4.0.3a,hits/nossob/20260831/231052_p15_blob7.jpg
2026-08-31 23:21:08,2026-09-01 01:21:08,nossob,night,13,hits,4,0.8406,1,0.15,bird,aves,0.6741,4,1.9,4.0,0.632,0.457,4.0.3a,hits/nossob/20260831/232108_p13_blob4.jpg
2026-08-31 23:34:07,2026-09-01 01:34:07,nossob,night,15,hits,5,0.0958,0,0.15,blank,,0.6847,2,1.9,5.4,0.892,0.356,4.0.3a,hits/nossob/20260831/233407_p15_blob5.jpg
2026-08-31 23:36:57,2026-09-01 01:36:57,nossob,night,12,hits,4,0.01,0,0.15,blank,,0.9717,1,8.6,5.0,0.232,0.371,4.0.3a,hits/nossob/20260831/233657_p12_blob4.jpg
2026-08-31 23:59:07,2026-09-01 01:59:07,nossob,night,16,hits,52,0.1041,0,0.15,blank,,0.997,4,5.1,1.6,0.651,0.441,4.0.3a,hits/nossob/20260831/235907_p16_blob52.jpg
